gender,rpi1_sc-118,rpi1_sc-111,rpi1_sc2,rpi1_sc32,rpi1_sc67,rpi1_sc106,rpi1_sc120,rpi1_sc121
1,729.5986,372.2539,128.0000,36.7151,44.9222,799.2122,544.4888,494.3855
1,714.6818,370.6211,128.0000,35.3553,42.3792,792.9414,540.6681,498.7123
1,706.9286,369.7702,128.0000,39.4588,47.1699,856.5979,524.5036,529.7027
1,736.3097,377.0848,128.0000,43.3244,43.0116,796.9097,545.5804,489.0358
1,699.6471,373.1863,128.0000,49.0408,40.5216,844.6307,523.5456,532.2903
1,733.6655,382.5454,128.0000,36.0694,39.3954,782.7036,548.3256,496.4524
1,709.2313,361.9420,128.0000,35.3836,40.6079,831.1884,531.9445,516.1676
1,717.4322,364.2993,128.0000,32.6497,46.2385,822.0717,532.8687,513.1949
1,699.0422,361.5812,128.0000,40.7185,45.8803,847.1086,523.9551,525.6006
1,708.7595,362.6045,128.0000,38.8330,40.4969,837.0812,525.5949,525.6206
1,718.7273,374.0494,128.0000,42.4382,37.1214,799.1351,529.9481,513.0341
1,730.8434,376.7148,128.0000,43.5660,43.1741,797.0797,545.1797,497.3148
1,727.3307,372.2849,128.0000,42.0119,41.7732,782.1061,543.6249,492.7444
1,731.3857,369.6931,128.0000,38.1838,44.4072,800.4930,544.2739,495.2414
1,717.1868,373.3765,128.0000,44.0114,40.0000,798.5869,535.9553,502.4619
1,709.0571,361.6988,128.0000,27.8927,47.4131,822.3362,531.4979,511.6581
1,697.6625,367.4956,128.0000,41.7732,38.0789,826.4412,528.7277,515.5657
1,694.0159,369.8919,128.0000,41.0487,50.0899,831.8473,531.9323,526.3431
1,724.4860,374.6385,128.0000,48.8774,40.3113,790.6301,541.1663,498.4827
1,696.2830,373.0482,128.0000,36.4005,43.6807,839.7505,519.3120,527.8873
1,697.0115,364.9713,128.0000,44.2832,40.7922,843.0450,523.2609,525.5949
1,728.4312,368.8604,128.0000,34.9285,44.1022,809.4752,535.3737,501.9492
1,725.1985,381.0118,128.0000,53.1507,48.3736,819.1360,528.0956,515.0243
1,707.5486,367.2669,128.0000,34.9285,45.5412,817.5065,527.0313,511.2827
1,729.5622,371.7472,128.0000,37.6962,41.7612,792.8058,542.4187,498.7605
1,717.6023,370.9515,128.0000,45.3542,40.8044,835.4639,529.9226,523.8941
1,708.6191,368.1331,128.0000,37.1214,46.5296,815.0098,531.4000,510.0373
1,708.9936,366.8692,128.0000,30.4138,46.2277,826.6135,534.4623,512.0244
1,721.8698,366.1489,128.0000,41.4367,52.3450,799.3029,538.3205,498.0863
1,709.9415,366.3659,128.0000,34.7131,48.4665,830.1627,524.6580,518.8179
1,713.3450,370.7425,128.0000,42.7200,39.8497,834.8569,527.6912,525.8441
1,728.0007,375.0466,128.0000,47.9270,40.4475,786.8037,537.3602,490.7189
1,718.6014,368.9783,128.0000,51.4004,41.1096,812.7939,524.8562,521.0038
1,696.3749,357.3975,128.0000,51.2445,38.0132,833.8207,512.1376,533.9672
1,713.0028,363.1474,128.0000,43.8406,36.2353,794.9088,529.1993,493.2068
1,707.5430,365.2684,128.0000,36.7696,46.0652,840.6105,514.3326,524.1116
1,702.3425,353.3624,128.0000,37.0135,36.4005,824.3210,518.6135,513.3663
1,695.6242,371.9489,128.0000,36.8917,49.6488,836.2296,521.4230,530.7250
1,723.4286,372.7868,128.0000,51.0000,38.2099,809.9383,533.8164,515.6985
1,726.8149,363.0771,128.0000,36.1386,43.3244,787.2769,544.0267,495.9970
1,713.2532,372.2110,128.0000,48.0208,41.3038,820.9537,529.7028,513.8765
1,717.0027,370.6481,128.0000,48.6621,38.0789,820.5858,534.3117,514.1147
1,697.9398,368.4196,128.0000,43.5660,43.0116,840.5629,523.5886,526.5103
1,720.9002,372.8338,128.0000,43.0813,38.6394,824.0024,525.0924,516.8714
1,699.0258,359.5066,128.0000,37.6431,47.5184,824.2384,526.8207,514.0292
1,703.6832,367.7295,128.0000,39.0000,47.1699,828.6978,533.2401,517.5190
1,727.2139,377.9021,128.0000,50.2494,40.2244,789.6157,538.4459,497.2052
1,734.4685,366.4887,128.0000,39.8246,34.4819,789.8614,543.2826,494.0789
1,701.4456,363.7925,128.0000,34.9285,37.0540,824.5302,525.4217,521.8055
1,727.4648,370.6427,128.0000,42.7200,44.7214,821.7177,534.7421,507.5609
1,707.2291,368.0869,128.0000,35.7771,45.9674,824.9661,531.3727,514.2811
1,724.1892,369.4455,128.0000,44.5982,37.6431,813.2828,540.0592,509.0894
1,716.4803,369.4009,128.0000,50.2892,38.4187,784.9293,545.6161,495.5643
1,717.6747,364.0879,128.0000,35.2278,45.6946,813.9692,529.9670,504.3104
1,702.1659,379.0013,128.0000,50.3587,42.4500,822.7716,523.8950,528.2054
1,734.5073,364.5518,128.0000,33.6006,44.0454,795.9730,533.2560,494.2520
1,720.8716,363.2657,128.0000,39.9249,42.2966,803.9061,537.8197,495.2020
1,711.1259,358.8997,128.0000,40.7922,39.8246,849.3398,522.8164,527.2191
1,697.6539,364.3515,128.0000,31.3209,43.8406,842.0416,522.5189,517.3490
1,707.3923,363.9176,128.0000,40.0000,50.1199,851.9777,523.5504,524.3291
1,727.7720,375.5330,128.0000,44.9444,35.7351,787.1581,542.5173,492.4429
1,696.1357,363.2795,1152.0000,40.8044,42.1545,822.7004,523.2762,510.4057
1,717.7200,365.1205,128.0000,33.3017,45.4533,805.4595,537.0754,504.0099
1,730.2739,374.8626,128.0000,47.6340,41.1096,791.0910,542.3035,496.7786
1,709.1882,367.1512,128.0000,54.0833,41.0366,832.3953,526.3658,520.4651
1,699.6828,371.8602,128.0000,40.8534,43.9318,838.6805,517.4910,524.9476
